user1,user2,sim
user_000011,user_000250,0.0111731843575419
user_000011,user_000425,0.047619047619047616
user_000011,user_000761,0.001851851851851852
user_000021,user_000054,0.014634146341463415
user_000021,user_000129,0.029411764705882353
user_000021,user_000137,0.008264462809917356
user_000021,user_000152,0.004048582995951417
user_000021,user_000155,0.008676789587852495
user_000021,user_000182,0.0045871559633027525
user_000021,user_000188,0.0038461538461538464
user_000021,user_000205,0.002386634844868735
user_000021,user_000250,0.017964071856287425
user_000021,user_000284,0.015748031496062992
user_000021,user_000298,0.0069767441860465115
user_000021,user_000310,0.009216589861751152
user_000021,user_000340,0.015
user_000021,user_000342,0.005319148936170213
user_000021,user_000344,0.01694915254237288
user_000021,user_000348,0.012461059190031152
user_000021,user_000349,0.019553072625698324
user_000021,user_000389,0.006172839506172839
user_000021,user_000445,0.0036363636363636364
user_000021,user_000469,0.004878048780487805
user_000021,user_000488,0.00392156862745098
user_000021,user_000507,0.01020408163265306
user_000021,user_000532,0.01818181818181818
user_000021,user_000547,0.005376344086021506
user_000021,user_000570,0.011450381679389313
user_000021,user_000581,0.009523809523809525
user_000021,user_000611,0.009216589861751152
user_000021,user_000612,0.003484320557491289
user_000021,user_000620,0.01675977653631285
user_000021,user_000625,0.009708737864077669
user_000021,user_000650,0.014598540145985401
user_000021,user_000653,0.006134969325153374
user_000021,user_000678,0.018957345971563982
user_000021,user_000714,0.004347826086956522
user_000021,user_000761,0.015965166908563134
user_000021,user_000782,0.005780346820809248
user_000021,user_000831,0.016042780748663103
user_000021,user_000841,0.00411522633744856
user_000021,user_000872,0.010582010582010581
user_000021,user_000877,0.019083969465648856
user_000021,user_000889,0.005555555555555556
user_000021,user_000896,0.0055248618784530384
user_000021,user_000914,0.017391304347826087
user_000021,user_000915,0.02242152466367713
user_000021,user_000926,0.006060606060606061
user_000021,user_000934,0.018404907975460124
user_000021,user_000935,0.01990049751243781
user_000021,user_000936,0.003134796238244514
user_000021,user_000960,0.043668122270742356
user_000026,user_000190,0.017241379310344827
user_000026,user_000581,0.02
user_000026,user_000611,0.017543859649122806
user_000026,user_000745,1.0
user_000027,user_000340,0.024390243902439025
user_000027,user_000349,0.0049261083743842365
user_000027,user_000425,0.05263157894736842
user_000027,user_000532,0.0022026431718061676
user_000027,user_000751,0.058823529411764705
user_000048,user_000190,0.017241379310344827
user_000052,user_000054,0.008333333333333333
user_000052,user_000084,0.009615384615384616
user_000052,user_000137,0.039735099337748346
user_000052,user_000152,0.025477707006369428
user_000052,user_000155,0.02717391304347826
user_000052,user_000161,0.015873015873015872
user_000052,user_000182,0.03125
user_000052,user_000188,0.05454545454545454
user_000052,user_000190,0.0390625
user_000052,user_000205,0.00909090909090909
user_000052,user_000233,0.003246753246753247
user_000052,user_000250,0.01606425702811245
user_000052,user_000254,0.010752688172043012
user_000052,user_000284,0.0058823529411764705
user_000052,user_000298,0.005813953488372093
user_000052,user_000305,0.013333333333333334
user_000052,user_000310,0.015384615384615385
user_000052,user_000340,0.017543859649122806
user_000052,user_000344,0.02147239263803681
user_000052,user_000348,0.004219409282700422
user_000052,user_000349,0.025830258302583026
user_000052,user_000356,0.05555555555555555
user_000052,user_000366,0.05102040816326531
user_000052,user_000407,0.023255813953488372
user_000052,user_000429,0.026785714285714284
user_000052,user_000445,0.038461538461538464
user_000052,user_000453,0.054945054945054944
user_000052,user_000468,0.045454545454545456
user_000052,user_000488,0.018072289156626505
user_000052,user_000507,0.0673076923076923
user_000052,user_000520,0.017391304347826087
user_000052,user_000532,0.011472275334608031
user_000052,user_000553,0.010869565217391304
user_000052,user_000554,0.04054054054054054
user_000052,user_000556,0.013333333333333334
user_000052,user_000581,0.02459016393442623
user_000052,user_000594,0.020618556701030927
user_000052,user_000604,0.01020408163265306
user_000052,user_000607,0.013157894736842105
user_000052,user_000612,0.06349206349206349
user_000052,user_000625,0.04310344827586207
user_000052,user_000650,0.04945054945054945
user_000052,user_000651,0.004656577415599534
user_000052,user_000678,0.015873015873015872
user_000052,user_000714,0.02127659574468085
user_000052,user_000740,0.023255813953488372
user_000052,user_000751,0.022222222222222223
user_000052,user_000761,0.02680067001675042
user_000052,user_000776,0.013333333333333334
user_000052,user_000782,0.03571428571428571
user_000052,user_000798,0.05405405405405406
user_000052,user_000802,0.02608695652173913
user_000052,user_000809,0.051470588235294115
user_000052,user_000831,0.019801980198019802
user_000052,user_000841,0.00641025641025641
user_000052,user_000845,0.008333333333333333
user_000052,user_000860,0.006756756756756757
user_000052,user_000872,0.009708737864077669
user_000052,user_000889,0.03296703296703297
user_000052,user_000890,0.013333333333333334
user_000052,user_000914,0.00684931506849315
user_000052,user_000915,0.014388489208633094
user_000052,user_000926,0.01282051282051282
user_000052,user_000934,0.004098360655737705
user_000052,user_000936,0.02643171806167401
user_000052,user_000957,0.008928571428571428
user_000052,user_000960,0.013333333333333334
user_000054,user_000021,0.014634146341463415
user_000054,user_000052,0.008333333333333333
user_000054,user_000137,0.06666666666666667
user_000054,user_000152,0.06451612903225806
user_000054,user_000155,0.02046783625730994
user_000054,user_000161,0.01875
user_000054,user_000182,0.019801980198019802
user_000054,user_000188,0.013986013986013986
user_000054,user_000205,0.006622516556291391
user_000054,user_000250,0.009009009009009009
user_000054,user_000254,0.031746031746031744
user_000054,user_000269,0.009345794392523364
user_000054,user_000340,0.011627906976744186
user_000054,user_000344,0.009966777408637873
user_000054,user_000348,0.01951219512195122
user_000054,user_000349,0.05508474576271186
user_000054,user_000356,0.024096385542168676
user_000054,user_000366,0.027777777777777776
user_000054,user_000429,0.08860759493670886
user_000054,user_000445,0.08108108108108109
user_000054,user_000453,0.015151515151515152
user_000054,user_000469,0.011235955056179775
user_000054,user_000488,0.021897810218978103
user_000054,user_000507,0.025
user_000054,user_000520,0.011494252873563218
user_000054,user_000532,0.022494887525562373
user_000054,user_000553,0.015873015873015872
user_000054,user_000554,0.008064516129032258
user_000054,user_000570,0.06428571428571428
user_000054,user_000581,0.02127659574468085
user_000054,user_000604,0.029411764705882353
user_000054,user_000612,0.029940119760479042
user_000054,user_000619,0.018518518518518517
user_000054,user_000625,0.01098901098901099
user_000054,user_000650,0.038461538461538464
user_000054,user_000678,0.020618556701030927
user_000054,user_000714,0.008771929824561403
user_000054,user_000740,0.017241379310344827
user_000054,user_000751,0.10526315789473684
user_000054,user_000757,0.01694915254237288
user_000054,user_000761,0.01565217391304348
user_000054,user_000782,0.017543859649122806
user_000054,user_000798,0.05063291139240506
user_000054,user_000802,0.047058823529411764
user_000054,user_000809,0.02702702702702703
user_000054,user_000831,0.07246376811594203
user_000054,user_000841,0.024
user_000054,user_000842,0.0425531914893617
user_000054,user_000845,0.01098901098901099
user_000054,user_000860,0.008403361344537815
user_000054,user_000877,0.02027027027027027
user_000054,user_000889,0.015625
user_000054,user_000915,0.027522935779816515
user_000054,user_000934,0.014084507042253521
user_000054,user_000935,0.022988505747126436
user_000054,user_000936,0.030303030303030304
user_000054,user_000960,0.01652892561983471
user_000074,user_000084,0.045454545454545456
user_000074,user_000092,0.007575757575757576
user_000074,user_000124,0.015748031496062992
user_000074,user_000125,0.015748031496062992
user_000074,user_000137,0.016042780748663103
user_000074,user_000155,0.014814814814814815
user_000074,user_000161,0.022727272727272728
user_000074,user_000188,0.0048543689320388345
user_000074,user_000190,0.006060606060606061
user_000074,user_000205,0.011049723756906077
user_000074,user_000233,0.020895522388059702
user_000074,user_000250,0.01060070671378092
user_000074,user_000269,0.005917159763313609
user_000074,user_000298,0.0160857908847185
user_000074,user_000310,0.006097560975609756
user_000074,user_000326,0.007874015748031496
user_000074,user_000340,0.006756756756756757
user_000074,user_000342,0.015037593984962405
user_000074,user_000344,0.011049723756906077
user_000074,user_000348,0.011194029850746268
user_000074,user_000349,0.00974025974025974
user_000074,user_000469,0.006622516556291391
user_000074,user_000479,0.008695652173913044
user_000074,user_000488,0.030612244897959183
user_000074,user_000520,0.013513513513513514
user_000074,user_000532,0.012612612612612612
user_000074,user_000535,0.008695652173913044
user_000074,user_000552,0.01507537688442211
user_000074,user_000553,0.008
user_000074,user_000554,0.016304347826086956
user_000074,user_000581,0.006369426751592357
user_000074,user_000612,0.008620689655172414
user_000074,user_000620,0.015873015873015872
user_000074,user_000625,0.006535947712418301
user_000074,user_000651,0.012429378531073447
user_000074,user_000678,0.0189873417721519
user_000074,user_000714,0.029069767441860465
user_000074,user_000724,0.006622516556291391
user_000074,user_000757,0.008264462809917356
user_000074,user_000761,0.01732283464566929
user_000074,user_000771,0.022900763358778626
user_000074,user_000798,0.004405286343612335
user_000074,user_000802,0.006666666666666667
user_000074,user_000809,0.005714285714285714
user_000074,user_000841,0.005291005291005291
user_000074,user_000860,0.011111111111111112
user_000074,user_000871,0.008547008547008548
user_000074,user_000877,0.019138755980861243
user_000074,user_000914,0.01694915254237288
user_000074,user_000915,0.011627906976744186
user_000074,user_000934,0.01090909090909091
user_000074,user_000935,0.027210884353741496
user_000074,user_000936,0.0037735849056603774
user_000074,user_000960,0.016483516483516484
user_000084,user_000052,0.009615384615384616
user_000084,user_000074,0.045454545454545456
user_000084,user_000124,0.0625
user_000084,user_000125,0.04081632653061224
user_000084,user_000137,0.037037037037037035
user_000084,user_000155,0.01524390243902439
user_000084,user_000161,0.027972027972027972
user_000084,user_000188,0.0078125
user_000084,user_000205,0.039711191335740074
user_000084,user_000233,0.023255813953488372
user_000084,user_000250,0.004830917874396135
user_000084,user_000269,0.022222222222222223
user_000084,user_000298,0.010067114093959731
user_000084,user_000326,0.02040816326530612
user_000084,user_000342,0.07547169811320754
user_000084,user_000344,0.02127659574468085
user_000084,user_000348,0.010471204188481676
